# Timestamp: 2024-02-06 16:14:40.811080
# Target Ontology: http://www.ebi.ac.uk/efo/releases/v3.62.0/efo.owl
# text2term version: 4.1.3
# Minimum Score: 0.60
# Mapper: tfidf
# Base IRIs: "('http://www.ebi.ac.uk/efo/', 'http://purl.obolibrary.org/obo/MONDO', 'http://purl.obolibrary.org/obo/HP', 'http://www.orpha.net/ORDO', 'http://purl.obolibrary.org/obo/DOID')"
# Max Mappings: 1
# Term Type: OntologyTermType.CLASS
# Deprecated Terms Excluded
# Unmapped Terms Excluded
# Of 89981 entries, 46026 were mapped to 8252 unique terms
Source Term ID,Source Term,Mapped Term Label,Mapped Term CURIE,Mapped Term IRI,Mapping Score
GCST90249249,Retinoblastoma-like protein 1 levels,retinoblastoma,MONDO:0008380,http://purl.obolibrary.org/obo/MONDO_0008380,0.816
GCST90249250,Retinoblastoma-like protein 2 levels,retinoblastoma,MONDO:0008380,http://purl.obolibrary.org/obo/MONDO_0008380,0.815
GCST90249252,RNA-binding protein 24 levels,RNA-binding protein 24 measurement,EFO:0802030,http://www.ebi.ac.uk/efo/EFO_0802030,0.713
GCST90249253,RNA-binding protein 3 levels,RNA-binding protein 3 measurement,EFO:0802031,http://www.ebi.ac.uk/efo/EFO_0802031,0.674
GCST90249254,RNA-binding protein 40 levels,RNA-binding protein 40 measurement,EFO:0803037,http://www.ebi.ac.uk/efo/EFO_0803037,0.719
GCST90249255,Retinol-binding protein 1 levels,retinol-binding protein 4 measurement,EFO:0020707,http://www.ebi.ac.uk/efo/EFO_0020707,0.654
GCST90249256,Retinol-binding protein 4 levels,retinol-binding protein 4 measurement,EFO:0020707,http://www.ebi.ac.uk/efo/EFO_0020707,0.696
GCST90249305,Regulator of G-protein signaling 3 levels,regulator of G-protein signaling 3 measurement,EFO:0803006,http://www.ebi.ac.uk/efo/EFO_0803006,0.744
GCST90249306,Regulator of G-protein signaling 4 levels,regulator of G-protein signaling 3 measurement,EFO:0803006,http://www.ebi.ac.uk/efo/EFO_0803006,0.711
GCST90249307,Regulator of G-protein signaling 5 levels,regulator of G-protein signaling 3 measurement,EFO:0803006,http://www.ebi.ac.uk/efo/EFO_0803006,0.709
GCST90249308,Regulator of G-protein signaling 7 levels,regulator of G-protein signaling 3 measurement,EFO:0803006,http://www.ebi.ac.uk/efo/EFO_0803006,0.704
GCST90249309,Regulator of G-protein signaling 8 levels,regulator of G-protein signaling 8 measurement,EFO:0801997,http://www.ebi.ac.uk/efo/EFO_0801997,0.751
GCST90249310,Rac GTPase-activating protein 1 levels,rac GTPase-activating protein 1 measurement,EFO:0801985,http://www.ebi.ac.uk/efo/EFO_0801985,0.817
GCST90249311,Rho GTPase-activating protein 1 levels,rho GTPase-activating protein 1 measurement,EFO:0803015,http://www.ebi.ac.uk/efo/EFO_0803015,0.829
GCST90249312,Rho GTPase-activating protein 5 levels,rho GTPase-activating protein 5 measurement,EFO:0803017,http://www.ebi.ac.uk/efo/EFO_0803017,0.832
GCST90249313,Rho GTPase-activating protein 25 levels,rho GTPase-activating protein 25 measurement,EFO:0802011,http://www.ebi.ac.uk/efo/EFO_0802011,0.843
GCST90249314,Rho GTPase-activating protein 30 levels,rho GTPase-activating protein 30 measurement,EFO:0802012,http://www.ebi.ac.uk/efo/EFO_0802012,0.844
GCST90249315,Rho GTPase-activating protein 36 levels,rho GTPase-activating protein 36 measurement,EFO:0803016,http://www.ebi.ac.uk/efo/EFO_0803016,0.844
GCST90249316,Rho-related GTP-binding protein Rho6 levels,rho-related GTP-binding protein Rho6 measurement,EFO:0803022,http://www.ebi.ac.uk/efo/EFO_0803022,0.764
GCST90249317,Rho-related GTP-binding protein RhoB levels,rho-related GTP-binding protein RhoD measurement,EFO:0803023,http://www.ebi.ac.uk/efo/EFO_0803023,0.662
GCST90249318,Rho-related GTP-binding protein RhoC levels,rho-related GTP-binding protein RhoD measurement,EFO:0803023,http://www.ebi.ac.uk/efo/EFO_0803023,0.666
GCST90249319,Rho-related GTP-binding protein RhoD levels,rho-related GTP-binding protein RhoD measurement,EFO:0803023,http://www.ebi.ac.uk/efo/EFO_0803023,0.734
GCST90249320,Rhophilin-2 levels,rhophilin-2 measurement,EFO:0802015,http://www.ebi.ac.uk/efo/EFO_0802015,0.663
GCST90249321,Protein RIC-3 levels,protein measurement,EFO:0004747,http://www.ebi.ac.uk/efo/EFO_0004747,0.646
GCST90249322,Radiation-inducible immediate-early gene IEX-1 levels,radiation-inducible immediate-early gene IEX-1 measurement,EFO:0802987,http://www.ebi.ac.uk/efo/EFO_0802987,0.777
GCST90249323,Riboflavin kinase levels,riboflavin kinase measurement,EFO:0802016,http://www.ebi.ac.uk/efo/EFO_0802016,0.9
GCST90249324,Receptor-interacting serine/threonine-protein kinase 2 levels,receptor-interacting serine/threonine-protein kinase 2 measurement,EFO:0802997,http://www.ebi.ac.uk/efo/EFO_0802997,0.719
GCST90249326,60S ribosomal protein L12 levels,60S ribosomal protein L30 measurement,EFO:0801337,http://www.ebi.ac.uk/efo/EFO_0801337,0.663
GCST90249327,60S ribosomal protein L30 levels,60S ribosomal protein L30 measurement,EFO:0801337,http://www.ebi.ac.uk/efo/EFO_0801337,0.914
GCST90249328,Retroviral-like aspartic protease 1 levels,retroviral-like aspartic protease 1 measurement,EFO:0802008,http://www.ebi.ac.uk/efo/EFO_0802008,0.834
GCST90249329,Retinaldehyde-binding protein 1 levels,retinaldehyde-binding protein 1 measurement,EFO:0802003,http://www.ebi.ac.uk/efo/EFO_0802003,0.796
GCST90248050,Interleukin-1 receptor antagonist protein levels,interleukin 1 receptor antagonist measurement,EFO:0004754,http://www.ebi.ac.uk/efo/EFO_0004754,0.886
GCST90248051,Interleukin-1 receptor-like 1 levels,interleukin 1 receptor-like 1 measurement,EFO:0008168,http://www.ebi.ac.uk/efo/EFO_0008168,0.803
GCST90248052,Interleukin-1 receptor-like 2 levels,interleukin 1 receptor-like 2 measurement,EFO:0008169,http://www.ebi.ac.uk/efo/EFO_0008169,0.795
GCST90248053,Interleukin-1 receptor type 1 levels,interleukin-1 receptor type 1 measurement,EFO:0020487,http://www.ebi.ac.uk/efo/EFO_0020487,0.803
GCST90248054,Interleukin-1 receptor type 2 levels,interleukin-1 receptor type 2 measurement,EFO:0021842,http://www.ebi.ac.uk/efo/EFO_0021842,0.794
GCST90248055,Interleukin-20 receptor subunit alpha levels,interleukin 5 receptor subunit alpha measurement,EFO:0008186,http://www.ebi.ac.uk/efo/EFO_0008186,0.877
GCST90248056,Interleukin-20 receptor subunit beta levels,interleukin 6 receptor subunit beta measurement,EFO:0008188,http://www.ebi.ac.uk/efo/EFO_0008188,0.863
GCST90248057,Interleukin-21 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.869
GCST90248058,Interleukin-22 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.883
GCST90248059,Interleukin-22 receptor subunit alpha-1 levels,interleukin 5 receptor subunit alpha measurement,EFO:0008186,http://www.ebi.ac.uk/efo/EFO_0008186,0.865
GCST90248060,Interleukin-22 receptor subunit alpha-2 levels,interleukin 5 receptor subunit alpha measurement,EFO:0008186,http://www.ebi.ac.uk/efo/EFO_0008186,0.864
GCST90248061,Interleukin-23 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.867
GCST90248062,Interleukin-23 receptor levels,interleukin 23 receptor measurement,EFO:0008181,http://www.ebi.ac.uk/efo/EFO_0008181,0.889
GCST90248063,Interleukin-25 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.868
GCST90248064,Interleukin-26 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.853
GCST90248065,Interleukin-27 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.852
GCST90248066,Interleukin-27 subunit beta levels,interleukin 6 receptor subunit beta measurement,EFO:0008188,http://www.ebi.ac.uk/efo/EFO_0008188,0.736
GCST90248067,Interleukin-27 receptor subunit alpha levels,interleukin 27 receptor subunit alpha measurement,EFO:0008183,http://www.ebi.ac.uk/efo/EFO_0008183,0.929
GCST90248068,Interleukin-2 receptor subunit beta levels,interleukin 6 receptor subunit beta measurement,EFO:0008188,http://www.ebi.ac.uk/efo/EFO_0008188,0.882
GCST90248069,Interleukin-31 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.845
GCST90248070,Interleukin-34 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.855
GCST90248071,Interleukin-36 alpha levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.743
GCST90248072,Interleukin-36 receptor antagonist protein levels,"psoriasis 14, pustular",MONDO:0013626,http://purl.obolibrary.org/obo/MONDO_0013626,0.872
GCST90248073,Interleukin-37 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.846
GCST90248074,Interleukin-3 receptor subunit alpha levels,interleukin 5 receptor subunit alpha measurement,EFO:0008186,http://www.ebi.ac.uk/efo/EFO_0008186,0.894
GCST90248075,Interleukin-5 receptor subunit alpha levels,interleukin 5 receptor subunit alpha measurement,EFO:0008186,http://www.ebi.ac.uk/efo/EFO_0008186,0.924
GCST90248076,Interleukin-6 receptor subunit alpha levels,interleukin 6 receptor subunit alpha measurement,EFO:0008187,http://www.ebi.ac.uk/efo/EFO_0008187,0.925
GCST90248077,Interleukin-6 receptor subunit beta levels,interleukin 6 receptor subunit beta measurement,EFO:0008188,http://www.ebi.ac.uk/efo/EFO_0008188,0.916
GCST90248078,Interleukin-7 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.912
GCST90248079,Interleukin-7 receptor subunit alpha levels,interleukin 7 receptor subunit alpha measurement,EFO:0008190,http://www.ebi.ac.uk/efo/EFO_0008190,0.925
GCST90248080,Interleukin-8 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.912
GCST90248081,Interleukin-9 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.914
GCST90248082,Interleukin enhancer-binding factor 3 levels,interleukin enhancer-binding factor 3 measurement,EFO:0802652,http://www.ebi.ac.uk/efo/EFO_0802652,0.84
GCST90248084,Importin subunit alpha-1 levels,importin subunit alpha-1 measurement,EFO:0020467,http://www.ebi.ac.uk/efo/EFO_0020467,0.78
GCST90248085,Importin subunit alpha-3 levels,importin subunit alpha-1 measurement,EFO:0020467,http://www.ebi.ac.uk/efo/EFO_0020467,0.778
GCST90248086,Importin subunit alpha-5 levels,importin subunit alpha-1 measurement,EFO:0020467,http://www.ebi.ac.uk/efo/EFO_0020467,0.772
GCST90249415,"Sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating levels","sterol-4-alpha-carboxylate 3-dehydrogenase, decarboxylating measurement",EFO:0802092,http://www.ebi.ac.uk/efo/EFO_0802092,0.786
GCST90249416,Serum amyloid A-1 protein levels,serum amyloid A protein measurement,EFO:0004728,http://www.ebi.ac.uk/efo/EFO_0004728,0.853
GCST90249417,Serum amyloid A-2 protein levels,serum amyloid A protein measurement,EFO:0004728,http://www.ebi.ac.uk/efo/EFO_0004728,0.851
GCST90249418,Serum amyloid A-4 protein levels,serum amyloid A protein measurement,EFO:0004728,http://www.ebi.ac.uk/efo/EFO_0004728,0.844
GCST90249419,Sperm acrosome-associated protein 5 levels,sperm acrosome membrane-associated protein 3 measurement,EFO:0802081,http://www.ebi.ac.uk/efo/EFO_0802081,0.694
GCST90249420,Sperm acrosome membrane-associated protein 1 levels,sperm acrosome membrane-associated protein 3 measurement,EFO:0802081,http://www.ebi.ac.uk/efo/EFO_0802081,0.816
GCST90249421,Sperm acrosome membrane-associated protein 3 levels,sperm acrosome membrane-associated protein 3 measurement,EFO:0802081,http://www.ebi.ac.uk/efo/EFO_0802081,0.837
GCST90249423,Adenosylhomocysteinase 2 levels,S-adenosylhomocysteine measurement,EFO:0010531,http://www.ebi.ac.uk/efo/EFO_0010531,0.721
GCST90249424,Serum albumin levels,serum albumin measurement,EFO:0004535,http://www.ebi.ac.uk/efo/EFO_0004535,0.867
GCST90249425,Deoxynucleoside triphosphate triphosphohydrolase SAMHD1 levels,deoxynucleoside triphosphate triphosphohydrolase SAMHD1 measurement,EFO:0802459,http://www.ebi.ac.uk/efo/EFO_0802459,0.966
GCST90249426,Serum amyloid P-component levels,serum amyloid P-component measurement,EFO:0008283,http://www.ebi.ac.uk/efo/EFO_0008283,0.76
GCST90249427,Histone deacetylase complex subunit SAP18 levels,histone deacetylase complex subunit SAP18 measurement,EFO:0801680,http://www.ebi.ac.uk/efo/EFO_0801680,0.94
GCST90248025,Insulin-induced gene 1 protein levels,insulin-induced gene 1 protein measurement,EFO:0802629,http://www.ebi.ac.uk/efo/EFO_0802629,0.81
GCST90248026,Interleukin-10 receptor subunit alpha levels,interleukin 5 receptor subunit alpha measurement,EFO:0008186,http://www.ebi.ac.uk/efo/EFO_0008186,0.879
GCST90248027,Interleukin-10 receptor subunit beta levels,interleukin 6 receptor subunit beta measurement,EFO:0008188,http://www.ebi.ac.uk/efo/EFO_0008188,0.866
GCST90248028,Interleukin-11 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.883
GCST90248029,Interleukin-11 receptor subunit alpha levels,interleukin 5 receptor subunit alpha measurement,EFO:0008186,http://www.ebi.ac.uk/efo/EFO_0008186,0.872
GCST90248030,Interleukin-12 subunit beta levels,interleukin 6 receptor subunit beta measurement,EFO:0008188,http://www.ebi.ac.uk/efo/EFO_0008188,0.751
GCST90248031,Interleukin-12 receptor subunit beta-1 levels,interleukin 6 receptor subunit beta measurement,EFO:0008188,http://www.ebi.ac.uk/efo/EFO_0008188,0.851
GCST90248032,Interleukin-13 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.874
GCST90248033,Interleukin-13 receptor subunit alpha-1 levels,interleukin 5 receptor subunit alpha measurement,EFO:0008186,http://www.ebi.ac.uk/efo/EFO_0008186,0.862
GCST90248034,Interleukin-15 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.873
GCST90248035,Interleukin-15 receptor subunit alpha levels,interleukin 15 receptor subunit alpha measurement,EFO:0008172,http://www.ebi.ac.uk/efo/EFO_0008172,0.928
GCST90248036,Interleukin-16 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.888
GCST90248037,Interleukin-17A levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.756
GCST90248038,Interleukin-17B levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.763
GCST90248039,Interleukin-17C levels,interleukin-17C measurement,EFO:0802656,http://www.ebi.ac.uk/efo/EFO_0802656,0.776
GCST90248040,Interleukin-17F levels,interleukin-17F measurement,EFO:0021963,http://www.ebi.ac.uk/efo/EFO_0021963,0.776
GCST90248041,Interleukin-17 receptor A levels,interleukin 17 receptor A measurement,EFO:0008175,http://www.ebi.ac.uk/efo/EFO_0008175,0.895
GCST90248042,interleukin-17 receptor B levels,interleukin 17 receptor B measurement,EFO:0008176,http://www.ebi.ac.uk/efo/EFO_0008176,0.895
GCST90248043,Interleukin-17 receptor D levels,interleukin 17 receptor D measurement,EFO:0008177,http://www.ebi.ac.uk/efo/EFO_0008177,0.898
GCST90248044,interleukin-18 receptor 1 levels,interleukin 18 receptor 1 measurement,EFO:0008178,http://www.ebi.ac.uk/efo/EFO_0008178,0.884
GCST90248045,Interleukin-18 receptor accessory protein levels,interleukin 18 receptor accessory protein measurement,EFO:0008179,http://www.ebi.ac.uk/efo/EFO_0008179,0.918
GCST90248046,Interleukin-19 levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.872
GCST90248047,Interleukin-1 alpha levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.798
GCST90248048,Interleukin-1 beta levels,interleukin,EFO:0004100,http://www.ebi.ac.uk/efo/EFO_0004100,0.858
GCST90248049,Interleukin-1 Receptor accessory protein levels,interleukin 1 Receptor accessory protein measurement,EFO:0008167,http://www.ebi.ac.uk/efo/EFO_0008167,0.918
GCST90248122,Interleukin-1 receptor-associated kinase 4 levels,interleukin 18 receptor 1 measurement,EFO:0008178,http://www.ebi.ac.uk/efo/EFO_0008178,0.619
GCST90248123,Interferon regulatory factor 3 levels,interferon regulatory factor 1 measurement,EFO:0021908,http://www.ebi.ac.uk/efo/EFO_0021908,0.882
GCST90248124,Interferon regulatory factor 9 levels,interferon regulatory factor 9 measurement,EFO:0802650,http://www.ebi.ac.uk/efo/EFO_0802650,0.911
GCST90248125,Inactive ribonuclease-like protein 10 levels,inactive ribonuclease-like protein 10 measurement,EFO:0802626,http://www.ebi.ac.uk/efo/EFO_0802626,0.854
GCST90248126,Kin of IRRE-like protein 2 levels,kin of IRRE-like protein 2 measurement,EFO:0802678,http://www.ebi.ac.uk/efo/EFO_0802678,0.759
GCST90248127,Kin of IRRE-like protein 3 levels,kin of IRRE-like protein 3 measurement,EFO:0020521,http://www.ebi.ac.uk/efo/EFO_0020521,0.76
GCST90248128,"Iron-sulfur cluster assembly enzyme ISCU, mitochondrial levels","iron-sulfur cluster assembly enzyme ISCU, mitochondrial measurement",EFO:0802665,http://www.ebi.ac.uk/efo/EFO_0802665,0.834
GCST90248129,Immunoglobulin superfamily containing leucine-rich repeat protein 2 levels,immunoglobulin superfamily containing leucine-rich repeat protein 2 measurement,EFO:0021879,http://www.ebi.ac.uk/efo/EFO_0021879,0.903
GCST90248130,Isthmin-1 levels,isthmin-1 measurement,EFO:0801737,http://www.ebi.ac.uk/efo/EFO_0801737,0.666
GCST90248131,Isochorismatase domain-containing protein 1 levels,isochorismatase domain-containing protein 1 measurement,EFO:0801735,http://www.ebi.ac.uk/efo/EFO_0801735,0.866
GCST90248132,Inactive serine protease 35 levels,probable inactive serine protease 37 measurement,EFO:0802907,http://www.ebi.ac.uk/efo/EFO_0802907,0.607
GCST90248133,Integrin alpha-2 levels,integrin alpha-5 measurement,EFO:0802637,http://www.ebi.ac.uk/efo/EFO_0802637,0.669
GCST90248134,Integrin alpha-5 levels,integrin alpha-5 measurement,EFO:0802637,http://www.ebi.ac.uk/efo/EFO_0802637,0.661
GCST90248135,E3 ubiquitin-protein ligase Itchy homolog levels,e3 ubiquitin-protein ligase pellino homolog 2 measurement,EFO:0802507,http://www.ebi.ac.uk/efo/EFO_0802507,0.688
GCST90248136,Intestinal-type alkaline phosphatase levels,intestinal-type alkaline phosphatase measurement,EFO:0801734,http://www.ebi.ac.uk/efo/EFO_0801734,0.808
GCST90248137,Integral membrane protein 2A levels,integral membrane protein 2A measurement,EFO:0801704,http://www.ebi.ac.uk/efo/EFO_0801704,0.903
GCST90248138,Integral membrane protein 2B levels,integral membrane protein 2B measurement,EFO:0802634,http://www.ebi.ac.uk/efo/EFO_0802634,0.904
GCST90248139,Inosine triphosphate pyrophosphatase levels,inosine triphosphatase deficiency,MONDO:0013461,http://purl.obolibrary.org/obo/MONDO_0013461,0.728
GCST90248141,Intersectin-1 levels,intersectin-1 measurement,EFO:0801733,http://www.ebi.ac.uk/efo/EFO_0801733,0.649
GCST90248142,Protein jagged-1 levels,protein jagged-1 measurement,EFO:0008271,http://www.ebi.ac.uk/efo/EFO_0008271,0.739
GCST90248143,Junctional adhesion molecule C levels,junctional adhesion molecule C measurement,EFO:0020510,http://www.ebi.ac.uk/efo/EFO_0020510,0.912
GCST90248144,Junctional adhesion molecule-like levels,junctional adhesion molecule-like measurement,EFO:0020511,http://www.ebi.ac.uk/efo/EFO_0020511,0.836
GCST90248145,Janus kinase and microtubule-interacting protein 3 levels,janus kinase and microtubule-interacting protein 3 measurement,EFO:0801738,http://www.ebi.ac.uk/efo/EFO_0801738,0.842
GCST90248097,72 kDa inositol polyphosphate 5-phosphatase levels,72 kDa inositol polyphosphate 5-phosphatase measurement,EFO:0802244,http://www.ebi.ac.uk/efo/EFO_0802244,0.873
GCST90248098,Insulin-like peptide INSL5 levels,insulin-like peptide INSL5 measurement,EFO:0802632,http://www.ebi.ac.uk/efo/EFO_0802632,0.874
GCST90248099,Insulin-like peptide INSL6 levels,insulin-like peptide INSL6 measurement,EFO:0802633,http://www.ebi.ac.uk/efo/EFO_0802633,0.876
GCST90248100,Insulin-like 3 levels,insulin-like 3 measurement,EFO:0802630,http://www.ebi.ac.uk/efo/EFO_0802630,0.709
GCST90248101,Integrin alpha-I: beta-1 complex levels,integrin alpha-I: beta-1 complex measurement,EFO:0008162,http://www.ebi.ac.uk/efo/EFO_0008162,0.64
GCST90248102,Integrin alpha-IIb: beta-3 complex levels,integrin alpha-IIb: beta-3 complex measurement,EFO:0020479,http://www.ebi.ac.uk/efo/EFO_0020479,0.626
GCST90248103,Intercellular adhesion molecule 1 levels,intercellular adhesion molecule 1 measurement,EFO:0801707,http://www.ebi.ac.uk/efo/EFO_0801707,0.92
GCST90248104,Intercellular adhesion molecule 2 levels,intercellular adhesion molecule 2 measurement,EFO:0008163,http://www.ebi.ac.uk/efo/EFO_0008163,0.92
GCST90248105,Intercellular adhesion molecule 3 levels,intercellular adhesion molecule 3 measurement,EFO:0020482,http://www.ebi.ac.uk/efo/EFO_0020482,0.92
GCST90248106,Intercellular adhesion molecule 4 levels,intercellular adhesion molecule 4 measurement,EFO:0801708,http://www.ebi.ac.uk/efo/EFO_0801708,0.921
GCST90248107,Intercellular adhesion molecule 5 levels,intercellular adhesion molecule 5 measurement,EFO:0008164,http://www.ebi.ac.uk/efo/EFO_0008164,0.921
GCST90248108,Integrin beta-2 levels,integrin beta-7 measurement,EFO:0802639,http://www.ebi.ac.uk/efo/EFO_0802639,0.651
GCST90248109,Integrin beta-5 levels,integrin beta-7 measurement,EFO:0802639,http://www.ebi.ac.uk/efo/EFO_0802639,0.641
GCST90248110,Interstitial collagenase levels,interstitial collagenase measurement,EFO:0008193,http://www.ebi.ac.uk/efo/EFO_0008193,0.889
GCST90248113,Inositol-trisphosphate 3-kinase A levels,inositol-trisphosphate 3-kinase A measurement,EFO:0802627,http://www.ebi.ac.uk/efo/EFO_0802627,0.694
GCST90248114,Inositol-trisphosphate 3-kinase C levels,inositol-trisphosphate 3-kinase A measurement,EFO:0802627,http://www.ebi.ac.uk/efo/EFO_0802627,0.655
GCST90248115,Inactive phospholipase D5 levels,inactive phospholipase D5 measurement,EFO:0802625,http://www.ebi.ac.uk/efo/EFO_0802625,0.913
GCST90248116,Inactive pancreatic lipase-related protein 1 levels,inactive pancreatic lipase-related protein 1 measurement,EFO:0801693,http://www.ebi.ac.uk/efo/EFO_0801693,0.846
GCST90248117,Inorganic pyrophosphatase levels,inorganic pyrophosphatase measurement,EFO:0008157,http://www.ebi.ac.uk/efo/EFO_0008157,0.897
GCST90248118,"Inorganic pyrophosphatase 2, mitochondrial levels",inorganic pyrophosphatase measurement,EFO:0008157,http://www.ebi.ac.uk/efo/EFO_0008157,0.719
GCST90248119,IQ domain-containing protein F1 levels,IQ domain-containing protein F1 measurement,EFO:0802664,http://www.ebi.ac.uk/efo/EFO_0802664,0.87
GCST90248120,IQ domain-containing protein F3 levels,IQ domain-containing protein F1 measurement,EFO:0802664,http://www.ebi.ac.uk/efo/EFO_0802664,0.701
GCST90248121,Insulin receptor levels,insulin receptor measurement,EFO:0008160,http://www.ebi.ac.uk/efo/EFO_0008160,0.843
GCST90248219,Kynureninase levels,kynureninase measurement,EFO:0008201,http://www.ebi.ac.uk/efo/EFO_0008201,0.873
GCST90248220,Kynurenine--oxoglutarate transaminase 1 levels,kynurenine--oxoglutarate transaminase 3 measurement,EFO:0801752,http://www.ebi.ac.uk/efo/EFO_0801752,0.802
GCST90248221,Kynurenine--oxoglutarate transaminase 3 levels,kynurenine--oxoglutarate transaminase 3 measurement,EFO:0801752,http://www.ebi.ac.uk/efo/EFO_0801752,0.818
GCST90248223,Extracellular glycoprotein lacritin levels,matrix extracellular phosphoglycoprotein measurement,EFO:0020557,http://www.ebi.ac.uk/efo/EFO_0020557,0.601
GCST90248224,Lactosylceramide 4-alpha-galactosyltransferase levels,lactosylceramide 4-alpha-galactosyltransferase measurement,EFO:0802683,http://www.ebi.ac.uk/efo/EFO_0802683,0.833
GCST90248225,"Lactosylceramide alpha-2,3-sialyltransferase levels",GM3 synthase deficiency,MONDO:0018274,http://purl.obolibrary.org/obo/MONDO_0018274,0.733
GCST90248226,Lactadherin levels,lactadherin measurement,EFO:0008203,http://www.ebi.ac.uk/efo/EFO_0008203,0.842
GCST90248227,Lactoylglutathione lyase levels,lactoylglutathione lyase measurement,EFO:0802684,http://www.ebi.ac.uk/efo/EFO_0802684,0.909
GCST90248228,Lactoperoxidase levels,lactoperoxidase measurement,EFO:0020525,http://www.ebi.ac.uk/efo/EFO_0020525,0.866
GCST90248229,Lactotransferrin levels,lactotransferrin measurement,EFO:0020526,http://www.ebi.ac.uk/efo/EFO_0020526,0.879
GCST90248230,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial levels",long chain acyl-CoA dehydrogenase deficiency,MONDO:0020531,http://purl.obolibrary.org/obo/MONDO_0020531,0.639
GCST90248231,Ladinin-1 levels,ladinin-1 measurement,EFO:0802685,http://www.ebi.ac.uk/efo/EFO_0802685,0.606
GCST90248232,Low affinity immunoglobulin epsilon Fc receptor levels,low affinity immunoglobulin epsilon Fc receptor measurement,EFO:0008210,http://www.ebi.ac.uk/efo/EFO_0008210,0.951
GCST90248233,Lymphocyte activation gene 3 protein levels,lymphocyte activation gene 3 protein measurement,EFO:0020540,http://www.ebi.ac.uk/efo/EFO_0020540,0.898
GCST90248234,Leukocyte-associated immunoglobulin-like receptor 1 levels,leukocyte-associated immunoglobulin-like receptor 1 measurement,EFO:0802706,http://www.ebi.ac.uk/efo/EFO_0802706,0.846
GCST90248235,Leukocyte-associated immunoglobulin-like receptor 2 levels,leukocyte-associated immunoglobulin-like receptor 1 measurement,EFO:0802706,http://www.ebi.ac.uk/efo/EFO_0802706,0.834
GCST90248236,Laminin subunit alpha-4 levels,laminin subunit alpha-4 measurement,EFO:0801755,http://www.ebi.ac.uk/efo/EFO_0801755,0.726
GCST90248237,Laminin subunit gamma-2 levels,laminin subunit gamma-2 measurement,EFO:0801756,http://www.ebi.ac.uk/efo/EFO_0801756,0.769
GCST90248238,Laminin-2 levels,laminin measurement,EFO:0020528,http://www.ebi.ac.uk/efo/EFO_0020528,0.698
GCST90248240,Ragulator complex protein LAMTOR2 levels,ragulator complex protein LAMTOR3 measurement,EFO:0801986,http://www.ebi.ac.uk/efo/EFO_0801986,0.752
GCST90248241,Ragulator complex protein LAMTOR3 levels,ragulator complex protein LAMTOR3 measurement,EFO:0801986,http://www.ebi.ac.uk/efo/EFO_0801986,0.933
GCST90248243,"Lamina-associated polypeptide 2, isoforms beta/gamma levels","lamina-associated polypeptide 2, isoforms beta/gamma measurement",EFO:0801754,http://www.ebi.ac.uk/efo/EFO_0801754,0.745
GCST90249626,Serpin H1 levels,H1-hESC,EFO:0003042,http://www.ebi.ac.uk/efo/EFO_0003042,0.652
GCST90249627,Sphingosine kinase 1 levels,sphingosine kinase 1 measurement,EFO:0020750,http://www.ebi.ac.uk/efo/EFO_0020750,0.864
GCST90249628,Sphingosine kinase 2 levels,sphingosine kinase 2 measurement,EFO:0020751,http://www.ebi.ac.uk/efo/EFO_0020751,0.865
GCST90249629,Serpin I2 levels,serpin I2 measurement,EFO:0803068,http://www.ebi.ac.uk/efo/EFO_0803068,0.86
